cik,company,ticker,exchange,sic,industry,hq_country,segment,naics
0001370946,Owens Corning,OC,NYSE,3290,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",USA,public,
0001687277,"ReTo Eco-Solutions, Inc.",RETO,Nasdaq,3290,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",USA,public,
0001624794,"CSW INDUSTRIALS, INC.",CSW,NYSE,2891,Adhesives & Sealants,USA,public,
0000039368,FULLER H B CO,FUL,NYSE,2891,Adhesives & Sealants,USA,public,
0000005981,AMERICAN VANGUARD CORP,AVD,NYSE,2870,Agricultural Chemicals,USA,public,
0001769484,Bioceres Crop Solutions Corp.,BIOX,Nasdaq,2870,Agricultural Chemicals,USA,public,
0001324404,"CF Industries Holdings, Inc.",CF,NYSE,2870,Agricultural Chemicals,USA,public,
0001425292,"CVR PARTNERS, LP",UAN,NYSE,2870,Agricultural Chemicals,USA,public,
0001705843,"Cibus, Inc.",CBUS,Nasdaq,2870,Agricultural Chemicals,USA,public,
0001574565,Evogene Ltd.,EVGN,Nasdaq,2870,Agricultural Chemicals,USA,public,
0002092967,Fort Technology Inc,FRTT,Nasdaq,2870,Agricultural Chemicals,USA,public,
0000941221,ICL Group Ltd.,ICL,NYSE,2870,Agricultural Chemicals,USA,public,
0001285785,MOSAIC CO,MOS,NYSE,2870,Agricultural Chemicals,,public,
0001725964,Nutrien Ltd.,NTR,NYSE,2870,Agricultural Chemicals,USA,public,
0000825542,SCOTTS MIRACLE-GRO CO,SMG,NYSE,2870,Agricultural Chemicals,USA,public,
0001680378,"SenesTech, Inc.",SNES,Nasdaq,2870,Agricultural Chemicals,USA,public,
0002096300,AEVEX Corp.,AVEX,NYSE,3721,Aircraft,USA,public,
0001927958,"AIRO Group Holdings, Inc.",AIRO,Nasdaq,3721,Aircraft,USA,public,
0001368622,AeroVironment Inc,AVAV,Nasdaq,3721,Aircraft,USA,public,
0000008504,AgEagle Aerial Systems Inc.,UAVS,NYSE,3721,Aircraft,USA,public,
0001824502,Archer Aviation Inc.,ACHR,NYSE,3721,Aircraft,,public,
0001824502,Archer Aviation Inc.,ACHR-WT,NYSE,3721,Aircraft,,public,
0001784570,"BETA Technologies, Inc.",BETA,NYSE,3721,Aircraft,USA,public,
0000012927,BOEING CO,BA,NYSE,3721,Aircraft,USA,public,
0000012927,BOEING CO,BA-PA,NYSE,3721,Aircraft,USA,public,
0001638911,DUKE Robotics Corp.,DUKR,Nasdaq,3721,Aircraft,USA,public,
0001638911,DUKE Robotics Corp.,DUKRW,Nasdaq,3721,Aircraft,USA,public,
0001786286,Draganfly Inc.,DPRO,Nasdaq,3721,Aircraft,USA,public,
0001355444,EMBRAER S.A.,EMBJ,NYSE,3721,Aircraft,,public,
0001823652,"Eve Holding, Inc.",EVEX,NYSE,3721,Aircraft,,public,
0001823652,"Eve Holding, Inc.",EVEX-WT,NYSE,3721,Aircraft,,public,
0001819848,"Joby Aviation, Inc.",JOBY,NYSE,3721,Aircraft,USA,public,
