name,url,segment,vc_source,date_discovered,quality_flag
Kickass Companies,https://lowercarbon.com/companies/,startup,Lowercarbon Capital,2026-06-26,needs_review
Climate Scoops,https://lowercarbon.com/climate-scoops/,startup,Lowercarbon Capital,2026-06-26,needs_review
Antora,https://lowercarbon.com/company/antora/,startup,Lowercarbon Capital,2026-06-26,needs_review
Crux,https://lowercarbon.com/company/crux/,startup,Lowercarbon Capital,2026-06-26,needs_review
Crusoe,https://lowercarbon.com/company/crusoe/,startup,Lowercarbon Capital,2026-06-26,needs_review
Panthalassa,https://lowercarbon.com/company/panthalassa/,startup,Lowercarbon Capital,2026-06-26,needs_review
Solar Square,https://lowercarbon.com/company/solarsquare/,startup,Lowercarbon Capital,2026-06-26,needs_review
Solugen,https://lowercarbon.com/company/solugen/,startup,Lowercarbon Capital,2026-06-26,needs_review
Heart,https://lowercarbon.com/company/heart/,startup,Lowercarbon Capital,2026-06-26,needs_review
Breathe,https://lowercarbon.com/company/breathe/,startup,Lowercarbon Capital,2026-06-26,needs_review
Sublime,https://lowercarbon.com/company/sublime/,startup,Lowercarbon Capital,2026-06-26,needs_review
Charm,https://lowercarbon.com/company/charm/,startup,Lowercarbon Capital,2026-06-26,needs_review
Lilac,https://lowercarbon.com/company/lilac/,startup,Lowercarbon Capital,2026-06-26,needs_review
Mill,https://lowercarbon.com/company/mill/,startup,Lowercarbon Capital,2026-06-26,needs_review
Nevoya,https://lowercarbon.com/company/nevoya/,startup,Lowercarbon Capital,2026-06-26,needs_review
Kula,https://lowercarbon.com/company/kula/,startup,Lowercarbon Capital,2026-06-26,needs_review
Overview,https://lowercarbon.com/company/overview/,startup,Lowercarbon Capital,2026-06-26,needs_review
Mosa,https://lowercarbon.com/company/mosa/,startup,Lowercarbon Capital,2026-06-26,needs_review
Arc,https://lowercarbon.com/company/arc/,startup,Lowercarbon Capital,2026-06-26,needs_review
Base Power,https://lowercarbon.com/company/base-power/,startup,Lowercarbon Capital,2026-06-26,needs_review
Artyc,https://lowercarbon.com/company/artyc/,startup,Lowercarbon Capital,2026-06-26,needs_review
Gridware,https://lowercarbon.com/company/gridware/,startup,Lowercarbon Capital,2026-06-26,needs_review
Lemon,https://lowercarbon.com/company/lemon/,startup,Lowercarbon Capital,2026-06-26,needs_review
Stand,https://lowercarbon.com/company/stand/,startup,Lowercarbon Capital,2026-06-26,needs_review
Fuse,https://lowercarbon.com/company/fuse/,startup,Lowercarbon Capital,2026-06-26,needs_review
Thea Energy,https://lowercarbon.com/company/thea-energy/,startup,Lowercarbon Capital,2026-06-26,needs_review
Astro Mechanica,https://lowercarbon.com/company/astro/,startup,Lowercarbon Capital,2026-06-26,needs_review
Carbon Engineering,https://lowercarbon.com/company/carbonengineering/,startup,Lowercarbon Capital,2026-06-26,needs_review
Airloom,https://lowercarbon.com/company/airloom/,startup,Lowercarbon Capital,2026-06-26,needs_review
Lithios,https://lowercarbon.com/company/lithios/,startup,Lowercarbon Capital,2026-06-26,needs_review
Twelve,https://lowercarbon.com/company/twelve/,startup,Lowercarbon Capital,2026-06-26,needs_review
Unspun,https://lowercarbon.com/company/unspun/,startup,Lowercarbon Capital,2026-06-26,needs_review
Arbor,https://lowercarbon.com/company/arbor/,startup,Lowercarbon Capital,2026-06-26,needs_review
Cloover,https://lowercarbon.com/company/cloover/,startup,Lowercarbon Capital,2026-06-26,needs_review
Nitricity,https://lowercarbon.com/company/nitricity/,startup,Lowercarbon Capital,2026-06-26,needs_review
